Оригинал	Утверждено	Фаргус	Изменено	Примечание	Пример файла
Sarhedra	(н/у)	Сархедра	не утв.	гуманоид, анимация=FIGHTER_FEMALE_DWARF - 2485	sarhed.CRE
Sassar	Сассар	Сассар	нет	гуманоид, анимация=нищий мужчина	sassar.CRE
Sath	(н/у)	Сэт	не утв.	гуманоид, анимация=мужчина-вор	sath.CRE
Satos	(н/у)	Сэтос	не утв.	гуманоид, (надо посмотреть в БГ1)	SATOS.CRE
Scar	(н/у)	Скар	не утв.	гуманоид, анимация=мужчина-боец	scar.CRE
Schlumpsha the Sewer King	(н/у)	Шлумфша, король Канализации	не утв.	монстр, анимация=SLIME_OLIVE - 3977	schlum.CRE
Scrooloose	Отморозок	Скруулууз	да	член старой банды Коргана	korscroo.CRE
Sea Troll	(н/у)	Морской тролль	не утв.	гуманоид-гигант, анимация=IC_TROLL1 - 5752	rogtro01.CRE
Sea Zombie	(н/у)	Морской Зомби	не утв.	Нежить, анимация=зомби	sahzomb.CRE
Sea Zombie Lord	(н/у)	Лорд Морской Зомби	не утв.	Нежить, анимация=зомби	sahzom01.CRE
Seagull	(н/у)	Чайка	не утв.	животное, анимация=SEAGULL - 5354	seagul.CRE
Sedej	Седедж (н/у)	(-)	не утв.	создатель моргенщтерна Wyvern's Tail	(-)
Seeker	(н/у)	Ищущий	не утв.	гуманоид, анимация=глаз мага	eyesek01.CRE
Sekolah	Секола	(-)	да	сахуагинский Бог	(-)
Selfish	(н/у)	Эгоист	не утв.	монстр, анимация=танарри	hellself.CRE
Selune	Селуна	(-)	да	Богиня	(-)
Semaj	(н/у)	Семаж	не утв.	гуманоид, анимация=MAGE_MALE_HUMAN_LOW - 2992	chsam01.CRE
Sendai	Сендай	Сендай	нет	гуманоид, анимация=женщина-боец	bgsendai.CRE
Senior Armagaran Vulova	(н/у)	Сеньор Армагаран Вулова	не утв.	гуманоид, анимация=дворянин	vulova.CRE
Senior Priestess Sallinithyl	(н/у)	Главная жрица Саллинисил	не утв.	гуманоид, анимация=сахуагин	sahpr4.CRE
Senityili	Сенитьили (н/у)	(-)	не утв.	Великая Жрица акульего бога Секолы	(-)
Seniyad	(н/у)	Сенияд	не утв.	гуманоид, анимация=мужчина-клерик	seniya.CRE
Sentinel	(н/у)	Сентинел	не утв.	гуманоид, анимация=глаз мага	eyesnt01.CRE
Sergeant Natula	(н/у)	Сержант Натула	не утв.	гуманоид, анимация=мужчина-боец	mgass01.CRE
Servant	(н/у)	Слуга	не утв.	гуманоид, анимация=толстяк	ahammed.CRE
Serving Wench	(н/у)	Девушка служанка	не утв.	гуманоид, анимация=крестьянка	friwen.CRE
Sethle	(н/у)	Сетл	не утв.	гуманоид, анимация=нищий мужчина	sethle.CRE
Sewage Golem	(н/у)	Нечистотный голем	не утв.	гуманоид-гигант, анимация=глиняный голем	igolem01.CRE
Sewer cleaner	(н/у)	Чистильщик канализации	не утв.	гуманоид, анимация=крестьянин	sewerc.CRE
Sewerfolk	(н/у)	Народ канальный	не утв.	гуманоид-гигант, анимация=огриллион	sewerf1.CRE
Shade Lich	(н/у)	Теневой Лич	не утв.	Нежить, анимация=лич	hlshade.CRE
Shade Lord	(н/у)	Лорд Тени	не утв.	Нежить, анимация=IC_LICHBLACK - 57424	shadel.CRE
Shade Wolf	(н/у)	Теневой Волк	не утв.	Нежить, анимация=WOLF_SHADOW - 31494	shawol01.CRE
Shadow	(н/у)	Тень	не утв.	Нежить, анимация=SHADOW - 3467	kshadow.CRE
Shadow Altar	(н/у)	Теневой Алтарь	не утв.	монстр, анимация=DOOM_GUARD_LARGER - 2566	shalt01.CRE
Shadow Druid	(н/у)	Друид Теней	не утв.	гуманоид, анимация=мужчина-клерик	cefgt02.CRE
Shadow Fiend	(н/у)	Демон-Тень	не утв.	гуманоид, анимация=SHADOW - 3467	sdshadfi.CRE
Shadow Jailor	(н/у)	Тень Тюремщика	не утв.	Нежить, анимация=SHADOW - 3467	rngsha04.CRE
Shadow Patrick	(н/у)	Теневой Патрик	не утв.	Нежить, анимация=SHADOW - 3467	rngsha02.CRE
Shadow Thief	(н/у)	Теневой вор	не утв.	гуманоид, анимация=мужчина-вор	ambsthf0.CRE
Shadow Warrior	(н/у)	Воин Тени	не утв.	Нежить, анимация=эльфийка-вор	ashiru.CRE
Shady Character	(н/у)	Сомнительный персонаж	не утв.	гуманоид, анимация=женщина-вор	mugger1.CRE
Shaella	(н/у)	Шейла	не утв.	гуманоид, анимация=женщина-клерик	shaell.CRE
Shagbag	Бугор	Шэгбэг	да	прозвище, член старой банды Коргана	korshag.CRE
Shalasin	(н/у)	Шаласин	не утв.	гуманоид, (надо посмотреть в БГ1)	SHALAS.CRE
Shaldrissa	(н/у)	Шалдрисса	не утв.	гуманоид, анимация=эльфийка-маг	shaldr.CRE
Shambling Mound	(н/у)	Шаркающий Холм	не утв.	монстр, анимация=SHAMBLING_MOUND - 29442	globsham.CRE
Shandalar	(н/у)	Шандалар	не утв.	гуманоид, анимация=мужчина-маг	shandal2.CRE
Shandelar	Шанделар (н/у)	(-)	не утв.	(-)	(-)
Shangalar	Шангалар	Шангалар	нет	Нежить, анимация=лич	hlshang.CRE
Shank	(н/у)	Шанк	не утв.	гуманоид, анимация=эльф-вор	bgshank.CRE
Shar-Teel	Шар-Тил	Шар-Тил	нет	NPC из БГ1, боец	sharte.CRE
Shara	(н/у)	Шара	не утв.	гуманоид, (надо посмотреть в БГ1)	SHARA.CRE
Sharik Nefal	(н/у)	Шарик Нефал	не утв.	гуманоид, анимация=мужчина-вор	tobban01.CRE
Shaundakul	Шондакал (н/у)	(-)	не утв.	(-)	(-)
Shelligh	(н/у)	Шеллай	не утв.	гуманоид, анимация=мальчик	shelli.CRE
Shelton	(н/у)	Шелтон	не утв.	гуманоид, (надо посмотреть в БГ1)	SHELTO.CRE
Shenarr Caith	Шеннар Кейт (н/у)	(-)	не утв.	эльфийский чародей и кузнец	(-)
Shep	(н/у)	Шеп	не утв.	гуманоид, анимация=крестьянин	shep.CRE
Shield Knight	(н/у)	Рыцарь со щитом	не утв.	гуманоид, анимация=мужчина-боец	c6kngt2.CRE
Shilo Chen	(н/у)	Шило Чен	не утв.	гуманоид, (надо посмотреть в БГ1)	SHILOC.CRE
Shimmering Wraith	(н/у)	Мерцающий дух	не утв.	Нежить, анимация=мужчина-маг	wrashi01.CRE
Shistal	(н/у)	Шистал.	не утв.	гуманоид, анимация=монах	shista.CRE
Shoal	Шоэл (н/у)	(-)	не утв.	(-)	(-)
Shoal the Nereid	(н/у)	Щоал Нереида	не утв.	монстр, анимация=SIRINE - 8192	shoal.CRE
Shvanana	(н/у)	Шванана	не утв.	гуманоид, анимация=женщина-дварф-клерик	bdprst01.CRE
Shvertszche	(н/у)	Шверцке	не утв.	гуманоид, анимация=раб	shvert.CRE
Shyressa	(н/у)	Шайресса	не утв.	Нежить, анимация=вампир	hlshyr.CRE
Sidge	(н/у)	Сидж	не утв.	гуманоид, анимация=теневой вор	thief1.CRE
Sil	(н/у)	Сил	не утв.	монстр, анимация=SIRINE - 8192	sil.CRE
Silence	(н/у)	Тишина	не утв.	гуманоид, анимация=мужчина-вор	silenc.CRE
Silke	(н/у)	Силке	не утв.	гуманоид, анимация=женщина-вор	silke.CRE
Silke Rosena	Силки Розена (н/у)	(-)	не утв.	актрисса	(-)
Silvanus	Сильванус	(-)	да	Бог	(-)
Silver Dragon	(н/у)	Серебряный Дракон	не утв.	монстр, анимация=серебряный дракон	dragsilv.CRE
Silverblade	Сильверблейд (Серебряный клинок) (н/у)	(-)	не утв.	дварфский кузнец	(-)
Simbja	(н/у)	Симбья	не утв.	гуманоид, анимация=IC_GOBLIN_BOW - 58384	gpsimb.CRE
Sime	(н/у)	Сайм	не утв.	гуманоид, анимация=женщина-вор	ppsime.CRE
Simyaz	(н/у)	Симьяз	не утв.	гуманоид, анимация=гитьянки	udsimyaz.CRE
Sion	(н/у)	Сион	не утв.	гуманоид, анимация=мужчина-маг	hlsion.CRE
Sir Alynar	Сэр Алинар	Сэр Алинар	нет	гуманоид, анимация=мужчина-боец	alynar.CRE
Sir Beverus	(н/у)	Сэр Биверус	не утв.	гуманоид, анимация=мужчина-боец	alex.CRE
Sir Branet Al-Thon	(н/у)	Сэр Брэнет Ал-Тон	не утв.	гуманоид, анимация=CLERIC_MALE_HUMAN_LOW - 248	william.CRE
Sir Cadril	(н/у)	Сэр Кедрил	не утв.	гуманоид, анимация=мужчина-боец	cadril.CRE
Sir Donalus	(н/у)	Сэр Доналус	не утв.	гуманоид, анимация=FIGHTER_MALE_HUMAN_LOW - 2736	heartg5.CRE
Sir Greshal	(н/у)	Сир Грешель	не утв.	гуманоид, анимация=мужчина-клерик	shthoff1.CRE
Sir Jolus	(н/у)	Сэр Йолус	не утв.	гуманоид, анимация=CLERIC_MALE_HUMAN_LOW - 248	jolus.CRE
Sir Laren	(н/у)	Сэр Ларен	не утв.	гуманоид, анимация=мужчина-боец	kendak.CRE
Sir Lothtyran	(н/у)	Сэр Лофтиран	не утв.	гуманоид, анимация=дворянин	sirlot.CRE
Sir Mardus	(н/у)	Сэр Мардус	не утв.	гуманоид, анимация=FIGHTER_MALE_HUMAN_LOW - 2736	heartg4.CRE
Sir Parick	(н/у)	Сир Парик	не утв.	гуманоид, анимация=дворянин	trnobm01.CRE
Sir Paritin	(н/у)	Сэр Паритин	не утв.	гуманоид, анимация=мужчина-клерик	ryan.CRE
Sir Ryan Trawl	(н/у)	Сэр Райан Троул	не утв.	гуманоид, анимация=мужчина-боец	kayl1.CRE
Sir Ryan Trawl	(н/у)	Сир Райан Троул	не утв.	гуманоид, анимация=мужчина-боец	kayl2.CRE
Sir Sarles	Сэр Сарльз	Сэр Сарлес	да	гуманоид, анимация=дворянин	scsarles.CRE
Sir Tain the Noble	Сэр Тэйн Благородный (н/у)	(-)	не утв.	первый владелец Шлема Славы	(-)
Sir William of Thorpe	(н/у)	Сэр Уильям из Торпа	не утв.	гуманоид, анимация=дворянин	willia.CRE
Sir William Reirrac	(н/у)	Сир Уильям Рейррак - Сэр Уильям Рейррак	не утв.	гуманоид, анимация=мужчина-боец	demson.CRE
Sir Zarath	(н/у)	Сэр Зарат	не утв.	гуманоид, анимация=мужчина-клерик	heartg3.CRE
Sirine	(н/у)	Сирин	не утв.	монстр, анимация=SIRINE - 8192	sirine_a.CRE
Sirine Queen	(н/у)	Королева Сирен	не утв.	гуманоид, анимация=SIRINE - 8192	islsir.CRE
Sister Farielle	(н/у)	Сестра Фариель	не утв.	гуманоид, анимация=женщина-клерик	sartem01.CRE
Sister Garlena	(н/у)	Сестра Гарлена	не утв.	гуманоид, анимация=женщина-клерик	shugar01.CRE
Skeleton	(н/у)	Скелет	не утв.	Нежить, анимация=скелет	appar.CRE
Skeleton Archer	(н/у)	Лучник скелет	не утв.	Нежить, анимация=скелет	skelar01.CRE
Skeleton Assassin	(н/у)	Скелет-Убийца	не утв.	Нежить, анимация=скелет	hgskl02.CRE
Skeleton Cleric	(н/у)	Скелет-священник	не утв.	Нежить, анимация=IC_SKELETON - 616	hgskl01.CRE
Skeleton Mage	(н/у)	Скелет-Маг	не утв.	Нежить, анимация=скелет	hgskl03.CRE
Skeleton Warrior	(н/у)	Воин-скелет	не утв.	Нежить, анимация=IC_SKELETONA - 6176	ar18skel.CRE
Skie	Скай	Скай	нет	дочь Энтара Силвершилда (Entar Silvershield)	skie.CRE
Skie Silvershield	Скай Силвершилд	Скай Силвершилд	нет	дочь Энтара Силвершилда (Entar Silvershield)	(-)
Skinner	Свежеватель	Скорняк	да	прозвище убийцы в Районе моста	
Slave	(н/у)	Раб	не утв.	гуманоид, анимация=женщина-клерик	daslave2.CRE
Slave Boy	(н/у)	Мальчик Раб	не утв.	гуманоид, анимация=мальчик	daslave3.CRE
Slave Girl	(н/у)	Девочка Раб	не утв.	гуманоид, анимация=девочка	daslave4.CRE
Slave Leader	(н/у)	Лидер Рабов	не утв.	гуманоид, анимация=мужчина-боец	daslave1.CRE
Slave Woman	(н/у)	Рабыня	не утв.	гуманоид, анимация=женщина-боец	hgslv01.CRE
Slave Wraith	(н/у)	Привидение Раба	не утв.	монстр, анимация=мужчина-боец	telslav.CRE
Slavemaster	(н/у)	Рабовладелец	не утв.	гуманоид, анимация=эльф-боец	sengua04.CRE
Slaver	(н/у)	Работорговец	не утв.	гуманоид, анимация=мужчина-клерик	recler01.CRE
Slaver Guard	(н/у)	Охрана работорговца	не утв.	гуманоид, анимация=мужчина-вор	slarch1.CRE
Slaver Wizard	(н/у)	Маг работорговец	не утв.	гуманоид, анимация=женщина-маг	remage01.CRE
Slayer	(н/у)	Убийца	не утв.	монстр, анимация=Слеер (убийца)	chalslay.CRE
Slayer Shadow	(н/у)	Тень Убийцы	не утв.	монстр, анимация=Слеер (убийца)	slaysh01.CRE
Sleeping Dwarf	(н/у)	Спящий гном	не утв.	гуманоид, анимация=SLEEPING_DWARF - 1792	sleepdw.CRE
Sleeping Elf	(н/у)	Спящий эльф	не утв.	гуманоид, анимация=спящий эльф	sleepel.CRE
Sleeping Halfling	(н/у)	Спящий полурослик	не утв.	гуманоид, анимация=SLEEPING_MAN_HALFLING - 18432	sleephal.CRE
Sleeping Man	(н/у)	Спящий мужчина	не утв.	гуманоид, анимация=мпящий мужчина	ammsleep.CRE
Sleeping Woman	(н/у)	Спящая Женщина	не утв.	гуманоид, анимация=спящая женщина	amfsleep.CRE
Slurice	Слурис (н/у)	(-)	не утв.	(-)	(-)
Slythe	(н/у)	Слайс	не утв.	гуманоид, анимация=мужчина-вор	slythe.CRE
Smaeluv Orcslicer	(н/у)	Смелув Оркобой	не утв.	гуманоид, анимация=FIGHTER_MALE_HALFORC - 24837	sevpat04.CRE
Small Spider	(н/у)	Маленький Паук	не утв.	монстр, анимация=SPIDER_SMALL - 32559	spidsm01.CRE
Smith	(н/у)	Кузнец	не утв.	гуманоид, анимация=толстяк	smith.CRE
Smoke Mephit	(н/у)	Дымный мефит	не утв.	гуманоид, анимация=имп	mepsmo01.CRE
Smuggler	(н/у)	Контрабандист	не утв.	гуманоид, анимация=мужчина-вор	amsmug01.CRE
Snake	(н/у)	Змея	не утв.	животное, анимация=змея	snake01.CRE
Snow Troll	(н/у)	Снежный тролль	не утв.	гуманоид-гигант, анимация=троль	obsice01.CRE
Solar	Солар	Солнечный	да	монстр, анимация=солар	finsol01.CRE
Solaufein	Солафейн	Солюфейн, Солюфейн, Солофейн	да	дроу	udsola01.CRE
Soldier	(н/у)	Солдат	не утв.	гуманоид, анимация=мужчина-боец	aesold.CRE
Solianna	(н/у)	Солианна	не утв.	гуманоид, анимация=девочка	solia1.CRE
Sondal	(н/у)	Сондал	не утв.	гуманоид, анимация=эльф-боец	uddrow16.CRE
Sonner	(н/у)	Соннер	не утв.	гуманоид, анимация=крестьянин	sonner.CRE
Sorcerous Amin - Sorcerous Amin	(н/у)	Заколдованный Амин	не утв.	гуманоид, анимация=мужчина-маг	plmetw01.CRE
Sorcerous Amon	(н/у)	Сорчерос Амон	не утв.	гуманоид, анимация=мужчина-маг	sevpat02.CRE
Sorrel	(н/у)	Соррел	не утв.	гуманоид, анимация=мужчина-клерик	sorrel.CRE
Sorsha	(н/у)	Сорша	не утв.	гуманоид, анимация=женщина-клерик	pardru.CRE
Spanky	Спанки	Спанки, Спэнки	да	хомячок, а также дядюшка Яна	(-)
Sparky	(н/у)	Живчик	не утв.	животное, анимация=DOG_WILD - 29696	kpdog01.CRE
Sparring Dummy	(н/у)	Учебный Болван	не утв.	гуманоид, анимация=DOOM_GUARD - 2565	dumfue.CRE
Spectator	(н/у)	Наблюдатель-созерцатель	не утв.	монстр, анимация=бехолдер	cultbh4.CRE
Spectral Blade	(н/у)	Спектральный меч	не утв.	оружие, анимация=DANCING_SWORD - 32537	sword68.CRE
Spectral Harpist	(н/у)	Призрачный арфист	не утв.	Нежить, анимация=эльфийка-клерик	hspectr1.CRE
Spectral Troll	(н/у)	Призрачный Тролль	не утв.	монстр, анимация=IC_TROLL1 - 5752	trolsp01.CRE
Spectre	(н/у)	Призрак	не утв.	Нежить, анимация=мужчина-маг	sahspc01.CRE
Spellhaunt	(н/у)	Спеллхонт	не утв.	монстр, анимация=MIST_CREATURE - 32565	spellh01.CRE
Spelljammer Drow	(н/у)	Дроу Заклятьедавитель	не утв.	гуманоид, анимация=эльф-боец	dadrow18.CRE
Spen Gil'meh	(н/у)	Спен Гиль'мех	не утв.	гуманоид, анимация=крестьянин	spengil.CRE
Spider	(н/у)	Паук	не утв.	гуманоид, анимация=SPIDER_HUGE - 31233	kftown01.CRE
Spirit Bear	(н/у)	Дух Медведя	не утв.	животное, анимация=белый медведь	spirbear.CRE
Spirit Lion	(н/у)	Дух Льва	не утв.	животное, анимация=GREATCAT_LEOPARD - 32523	spirlion.CRE
Spirit of the Grove	(н/у)	Дух Рощи	не утв.	гуманоид, анимация=монах	drshsp01.CRE
Spirit Panel	(н/у)	Призрачная Панель	не утв.	гуманоид, анимация=мужчина-боец	fsspir3.CRE
Spirit Snake	(н/у)	Дух змеи	не утв.	животное, анимация=змея	spirsnak.CRE
Spirit Troll	(н/у)	Призрачный тролль	не утв.	гуманоид, анимация=троль	daspitro.CRE
Spirit Warrior	(н/у)	Призрачный Воин	не утв.	гуманоид, анимация=мужчина-боец	fsspir1.CRE
Spirit Wolf	(н/у)	Дух Волка	не утв.	животное, анимация=WOLF_WINTER - 31491	spirwolf.CRE
Spore Colony	(н/у)	Колония Спор	не утв.	монстр, анимация=IC_SHROOM - 5994	icfung02.CRE
Spot	(н/у)	Пятно	не утв.	животное, анимация=DOG_WILD - 29696	kpdog04.CRE
Spotted Lion	(н/у)	Пятнистый Лев	не утв.	животное, анимация=GREATCAT_LEOPARD - 32523	catlis01.CRE
Sprat	(н/у)	Спрат	не утв.	гуманоид, анимация=крестьянин	sprat.CRE
Squip	(н/у)	Сквип	не утв.	гуманоид, анимация=мальчик	sarthf02.CRE
Squire Cathras	(н/у)	Сквайр Катрас	не утв.	гуманоид, анимация=мужчина-боец	c6squire.CRE
Squire Elotte	(н/у)	Сквайр Илотта	не утв.	гуманоид, анимация=женщина-боец	elotte.CRE
Squire Melvin	(н/у)	Сквайр Мелвин	не утв.	гуманоид, анимация=мужчина-боец	hmelvin.CRE
Squirrel	(н/у)	Белка	не утв.	гуманоид, анимация=белка	senani03.CRE
Ssitalc	Сситалк (н/у)	(-)	не утв.	владелец моргенштерна The Sleeper	(-)
Stalman	(н/у)	Сталман	не утв.	гуманоид, анимация=мужчина-клерик	hlstal.CRE
Stanet	(н/у)	Станет	не утв.	гуманоид, анимация=мужчина-полурослик-боец	bmtown4.CRE
Statue	(н/у)	Статуя	не утв.	гуманоид, анимация=мужчина-боец	achen.CRE
Statue of Riddles	(н/у)	Статуя Загадок	не утв.	монстр, анимация=DOOM_GUARD - 2565	ppstat01.CRE
Steam Mephit	(н/у)	Паровой мефит	не утв.	гуманоид, анимация=имп	elemep02.CRE
Stein	(н/у)	Пятно	не утв.	гуманоид, анимация=мужчина-вор	stein.CRE
Stephan	(н/у)	Стефан	не утв.	гуманоид, анимация=мужчина-маг	stepha.CRE
Stewart Elttil	Стюарт Элттил (н/у)	(-)	не утв.	обладатель Ремня	(-)
Stitch	Тычок	Стич	да	член старой банды Коргана	(-)
Stivan the Hunter	(н/у)	Стиван Охотник	не утв.	гуманоид, анимация=мужчина-полурослик-боец	bhalf1.CRE
Stone Golem	(н/у)	Каменный Голем	не утв.	гуманоид-гигант, анимация=глиняный голем	dstone1.CRE
Storekeep	(н/у)	Кладовщик	не утв.	гуманоид, анимация=STATIC_FAT_MAN - 468	bgshop01.CRE
Storm Knight	(н/у)	Грозный рыцарь	не утв.	гуманоид, анимация=мужчина-боец	c6kngt3.CRE
Stormherald Nallabir	(н/у)	Стормгерральд Наллабир	не утв.	гуманоид, анимация=мужчина-клерик	bhnalla.CRE
Strachan Fireblade	Страчан Огненный Клинок	Огненный Клинок Страчана	да	гуманоид, анимация=мужчина-боец	tanadv01.CRE
Streea	Стриа	Стриа	нет	(-)	(-)
Stronger	Сильнейший	(-)	да	(-)	(-)
Succubus	(н/у)	Суккубы	не утв.	монстр, анимация=SIRINE - 8192	demsuc01.CRE
Sugar	(н/у)	Сугар	не утв.	гуманоид, анимация=куртизанка	sugar.CRE
Sun Statue	(н/у)	Статуя Солнца	не утв.	защитные средства (shield), анимация=DOOM_GUARD - 2565	rngsta01.CRE
Suna Seni	(н/у)	Суна Сени	не утв.	гуманоид, анимация=эльфийка-боец	ppsuna.CRE
Sune	Суни	(-)	да	Богиня Красоты	(-)
Suneer	(н/у)	Сунир	не утв.	гуманоид, анимация=MAGE_MALE_HUMAN_LOW - 2992	susuneer.CRE
Sunin	(н/у)	Сунин	не утв.	гуманоид, анимация=мужчина-маг	sunin.CRE
Sunnis	(н/у)	Саннис	не утв.	гуманоид-гигант, анимация=элементаль земли	elemsunn.CRE
Surayah	(н/у)	Сурайях	не утв.	гуманоид, анимация=дворянка	surayah.CRE
Surly	(н/у)	Шерли	не утв.	гуманоид, анимация=FIGHTER_MALE_HALFORC - 24837	surly.CRE
Surly's Dog	(н/у)	Грубая Собака	не утв.	животное, анимация=DOG_WAR - 29697	cpchick2.CRE
Surrey	(н/у)	Суррей	не утв.	гуманоид, анимация=крестьянин	surrey.CRE
Svirfneblin	(н/у)	Свирфнеблин	не утв.	гуманоид, анимация=мужчина-дварф-боец	udsvdead.CRE
Svirfneblin Leader	(н/у)	Вождь Свирфнеблинов	не утв.	гуманоид, анимация=мужчина-дварф-боец	udsvir08.CRE
Svlast	(н/у)	Свласт	не утв.	гуманоид, (надо посмотреть в БГ1)	SVLAST.CRE
Swamp Horror	(н/у)	Болото Ужаса	не утв.	Нежить, анимация=MIST_CREATURE - 32565	hgmis02.CRE
Sword	(н/у)	Меч	не утв.	гуманоид, анимация=DANCING_SWORD - 32537	sword03.CRE
Sword Spider	(н/у)	Паук-мечник	не утв.	монстр, анимация=SPIDER_SWORD - 31235	plyspid.CRE
Sziltar's Apparition	(н/у)	Появление Сцилтара	не утв.	гуманоид, анимация=Куо-тоа	sahbeh02.CRE
Szordrin	(н/у)	Жордрин	не утв.	гуманоид, анимация=эльф-боец	uddrow04.CRE
Taar	(н/у)	Таар	не утв.	гуманоид, анимация=мужчина-клерик	garkid02.CRE
Tabitha	(н/у)	Табиса	не утв.	животное, анимация=GREATCAT_LEOPARD - 32523	coplion.CRE
Tad	Тад	Тад	нет	друг Сассара	ctraitor.CRE
Taerom Fuiruim	(н/у)	Тэйром Фьюируйм	не утв.	гуманоид, анимация=мужчина-боец	taerom.CRE
Tagget	(н/у)	Таггет	не утв.	гуманоид, анимация=мужчина-дварф-маг	ptagget.CRE
Tahazzar	(н/у)	Тахаззар	не утв.	монстр, анимация=танарри	gortan1.CRE
Taibela	(н/у)	Таибела	не утв.	гуманоид, анимация=THIEF_FEMALE_HALFLING_LOW - 21267	obshal06.CRE
Tailas	(н/у)	Талас	не утв.	гуманоид, анимация=мужчина-клерик	tailas.CRE
Taka Kobe	Така Коб (н/у)	(-)	не утв.	почетный кузнец Кара-Тура	(-)
Takiyah	(н/у)	Такийа	не утв.	гуманоид, анимация=мужчина-клерик	takiyah.CRE
Talira the Maid	(н/у)	Служанка Талира	не утв.	гуманоид, анимация=крестьянка	kpmaid02.CRE
Talon Nirkhas	Тэлон Нирхас	Талон Ниркхас	да	жрец Талоса	cldad.CRE
Talon Yarryl	Тэлон Яррил	Тэлон Яррил	нет	жрец Талоса	scyarryl.CRE
Talon Zogas	Тэлон Зогас	Тэлон Зогас	нет	жрец Талоса	acolyte1.CRE
Talona	Талона	(-)	да	Богиня, Повелительница ядов	(-)
Talons	Талонс (н/у)	(-)	не утв.	(-)	(-)
Talos	Талос	(-)	да	Бог, Повелитель Бурь	(-)
Taloun	(н/у)	Талоун	не утв.	гуманоид, анимация=мужчина-клерик	taloun.CRE
Tam	(н/у)	Тэм	не утв.	гуманоид, анимация=мужчина-боец	tam.CRE
Tamah	(н/у)	Тама	не утв.	гуманоид, анимация=женщина-боец	tamah.CRE
Tamile	(н/у)	Тамиле	не утв.	гуманоид, анимация=мужчина-вор	jaerto3.CRE
Tamoko	(н/у)	Тамоко	не утв.	гуманоид, анимация=FIGHTER_FEMALE_HUMAN_LOW - 2752	chtaz02.CRE
Tamorlin	(н/у)	Таморлин	не утв.	гуманоид, анимация=женщина-маг	rigen02.CRE
Tanar'ri	Танар'ри	Танар'ри	нет	демон	abydem01.CRE
Tanova	(н/у)	Танова	не утв.	гуманоид, анимация=женщина-вампир	bodtan.CRE
Taquee	(н/у)	Такуи	не утв.	гуманоид-гигант, анимация=DJINNI - 32517	trgeni02.CRE
Tarnesh	(н/у)	Тарнеш	не утв.	гуманоид, анимация=мужчина-маг	tarnes.CRE
Tarnor	(н/у)	Тарнор	не утв.	гуманоид, анимация=мужчина-дварф-боец	bgtarnor.CRE
Tarnor the Hatchetman	(н/у)	Тарнор Рыбак	не утв.	гуманоид, анимация=FIGHTER_MALE_DWARF_LOW - 2738	tarnor.CRE
Tartarus	Тартарус (н/у)	(-)	не утв.	Убийца Демонов	(-)
Tartusse	(н/у)	Тартусс	не утв.	гуманоид, анимация=дворянин	tartus.CRE
Tasloi	(н/у)	Таслой	не утв.	гуманоид, анимация=KOBOLD_TASLOI - 31745	itasloi.CRE
Tasloi Elite Trooper	(н/у)	Элитный воин Таслой	не утв.	гуманоид, анимация=KOBOLD_TASLOI - 31745	tasloisu.CRE
Taso Kala	(н/у)	Тасо Кала	не утв.	гуманоид, анимация=эльфийка-клерик	dadrow17.CRE
Tassa	(н/у)	Тасса	не утв.	гуманоид, анимация=дворянка	tassa.CRE
Tat	(н/у)	Тат	не утв.	гуманоид, анимация=девочка	tat.CRE
Tathlyn	(н/у)	Татлин	не утв.	гуманоид, анимация=эльф-боец	uddrow09.CRE
Taugosz Khosann	(н/у)	Тогоз Хосанн	не утв.	гуманоид, анимация=мужчина-боец	taugos.CRE
"Taurgosz ""Tenhammer"""	Таргосз “Десятимолот” (н/у)	(-)	не утв.	(-)	(-)
Tavern Drunk	(н/у)	Пьяный	не утв.	гуманоид, анимация=STATIC_PEASANT_MAN_CHAIR - 1664	drunk2.CRE
Tavern Patron	(н/у)	Посетитель таверны	не утв.	гуманоид, анимация=толстяк	ffcust02.CRE
Tavern Wench	(н/у)	Служанка	не утв.	гуманоид, анимация=куртизанка	wench1.CRE
Tax Collector	(н/у)	Сборщик налогов	не утв.	гуманоид, анимация=дворянин	taxcoll.CRE
Taxek	(н/у)	Тахек	не утв.	гуманоид, анимация=мужчина-вор	taxek.CRE
Tazok	Тазок	Тазок	нет	приспешник Саревока	bgtazok.CRE
Tel-anon	(н/у)	Тель-анон	не утв.	гуманоид, анимация=мужчина-боец	telano.CRE
Telka	(н/у)	Телка	не утв.	гуманоид, анимация=женщина-вор	telka.CRE
Tellan	(н/у)	Теллан	не утв.	гуманоид, анимация=мужчина-дварф-маг	tellan.CRE
Telmen	(н/у)	Телмен	не утв.	гуманоид, анимация=крестьянин	telmen.CRE
Telwyn	Тельвин	(-)	да	хранитель в храме Хелма	(-)
Tempus	Темпус	(-)	да	Бог, Владыка Битв	(-)
Tenser	Тензер	(-)	да	связан с заклинанием	(-)
Tenya	(н/у)	Тения	не утв.	гуманоид, анимация=эльфийка-клерик	tenya.CRE
Teos	(н/у)	Тэос	не утв.	гуманоид, анимация=монах	mgteos01.CRE
Tepid	(н/у)	Прохлада	не утв.	животное, анимация=кошка	tepid.CRE
Terl	(н/у)	Тэрл	не утв.	гуманоид, анимация=мужчина-клерик	terl.CRE
Terminsel	(н/у)	Терминсель	не утв.	гуманоид, анимация=мужчина-маг	jatermin.CRE
